Publication Year,Document Title,Publication Title,Authors,Abstract,Keywords,DOI,,
2017.0,POPL 2017: Proceedings of the 44th ACM SIGPLAN Symposium on Principles of Programming Languages,,no author,,,,,
2017abc,POPL 2017: Proceedings of the 44th ACM SIGPLAN Symposium on Principles of Programming Languages,,no author,,,,,
2013,Post-Route Alleviation of Dense Meander Segments in High-Performance Printed Circuit Boards,ICCAD '13,Tsun-Ming Tseng;; Bing Li;; Tsung-Yi Ho;; Ulf Schlichtmann,Length-matching is an important technique to balance delays of bus signals in high-performance PCB routing. Existing routers;; however;; may generate dense meander segments with small distance. Signals propagating across these meander segments exhibit a speedup effect due to crosstalks between the segments of the same wire;; thus leading to mismatch of arrival times even with the same physical wire length. In this paper;; we propose a post-processing method to enlarge the width and the distance of meander segments and distribute them more evenly on the board so that the crosstalks can be reduced. In the proposed framework;; we model the sharing combinations of available routing areas after removing dense meander segments from the initial routing;; as well as the generation of relaxed meander segments and their groups in subareas. Thereafter;; this model is transformed into an ILP problem and solved efficiently. Experimental results show that the proposed method can extend the width and the distance of meander segments about two times even under very tight area constraints;; so that the crosstalks and thus the speedup effect can be alleviated effectively in high-performance PCB designs.,,,,
???,pqsfinder web: G-quadruplex prediction using optimized pqsfinder algorithm,BIOINFORMATICS,Labudova;; Dominika; Hon;; Jiri; Lexa;; Matej,Motivation: G-quadruplex is a DNA or RNA form in which four guanine-rich regions are held together by base pairing between guanine nucleotides in coordination with potassium ions. G-quadruplexes are increasingly seen as a biologically important component of genomes. Their detection in vivo is problematic; however;; sequencing and spectrometric techniques exist for their in vitro detection. We previously devised the pqsfinder algorithm for PQS identification;; implemented it in C++ and published as an R/Bioconductor package. We looked for ways to optimize pqsfinder for faster and user-friendly sequence analysis. Results: We identified two weak points where pqsfinder could be optimized. We modified the internals of the recursive algorithm to avoid matching and scoring many sub-optimal PQS conformations that are later discarded. To accommodate the needs of a broader range of users;; we created a website for submission of sequence analysis jobs that does not require knowledge of R to use pqsfinder.,,10.1093/bioinformatics/btz928,,
,Practical Affine Types,Proceedings of the 38th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,Jesse A. Tov;; Riccardo Pucella,Alms is a general-purpose programming language that supports practical affine types. To offer the expressiveness of Girard's linear logic while keeping the type system light and convenient;; Alms uses expressive kinds that minimize notation while maximizing polymorphism between affine and unlimited types.A key feature of Alms is the ability to introduce abstract affine types via ML-style signature ascription. In Alms;; an interface can impose stiffer resource usage restrictions than the principal usage restrictions of its implementation. This form of sealing allows the type system to naturally and directly express a variety of resource management protocols from special-purpose type systems.We present two pieces of evidence to demonstrate the validity of our design goals. First;; we introduce a prototype implementation of Alms and discuss our experience programming in the language. Second;; we establish the soundness of the core language. We also use the core model to prove a principal kinding theorem.,linear logic;; type systems;; polymorphism;; affine types;; modules,,,
2011,Practical Affine Types,SIGPLAN Not.,Jesse A. Tov;; Riccardo Pucella,Alms is a general-purpose programming language that supports practical affine types. To offer the expressiveness of Girard's linear logic while keeping the type system light and convenient;; Alms uses expressive kinds that minimize notation while maximizing polymorphism between affine and unlimited types.A key feature of Alms is the ability to introduce abstract affine types via ML-style signature ascription. In Alms;; an interface can impose stiffer resource usage restrictions than the principal usage restrictions of its implementation. This form of sealing allows the type system to naturally and directly express a variety of resource management protocols from special-purpose type systems.We present two pieces of evidence to demonstrate the validity of our design goals. First;; we introduce a prototype implementation of Alms and discuss our experience programming in the language. Second;; we establish the soundness of the core language. We also use the core model to prove a principal kinding theorem.,affine types;; linear logic;; modules;; polymorphism;; type systems,10.1145/1925844.1926436,,
2017,Precise Detection of Side-Channel Vulnerabilities Using Quantitative Cartesian Hoare Logic,Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,Jia Chen;; Yu Feng;; Isil Dillig,This paper presents Themis;; an end-to-end static analysis tool for finding resource-usage side-channel vulnerabilities in Java applications. We introduce the notion of epsilon-bounded non-interference;; a variant and relaxation of Goguen and Meseguer's well-known non-interference principle. We then present Quantitative Cartesian Hoare Logic (QCHL);; a program logic for verifying epsilon-bounded non-interference. Our tool;; Themis;; combines automated reasoning in CHL with lightweight static taint analysis to improve scalability. We evaluate Themis on well known Java applications and demonstrate that Themis can find unknown side-channel vulnerabilities in widely-used programs. We also show that Themis can verify the absence of vulnerabilities in repaired versions of vulnerable programs and that Themis compares favorably against Blazer;; a state-of-the-art static analysis tool for finding timing side channels in Java applications.,,,,
2013,SIGGRAPH '13: ACM SIGGRAPH 2013 Posters,,no author,Posters are a convenient method for presenting in-progress research;; student projects;; and late-breaking work. Poster topics range from applications of computer graphics to in-depth research in specific areas. They are on display for attendees to browse at their leisure. Poster authors meet and discuss their work with attendees during Poster Presentations.,,,,
2014,SIGGRAPH '14: ACM SIGGRAPH 2014 Courses,,no author,,,,,
2014,SIGGRAPH '14: ACM SIGGRAPH 2014 Posters,,no author,,,,,
2014,SIGGRAPH '14: ACM SIGGRAPH 2014 Talks,,no author,,,,,
2016,SIGGRAPH '16: ACM SIGGRAPH 2016 Courses,,no author,"In SIGGRAPH 2016 Courses;; attendees learn from the experts in the field and gain inside knowledge that is critical to career advancement. Courses help attendees learn ""how to do something"" or ""how to do something faster;; better;; smarter;; or easier."" They are presented in short (1.5 hours);; medium (3.25 hours);; or all-day formats and often include elements of interactive demonstration;; performance;; or other imaginative approaches to teaching.The spectrum of Courses ranges from an introduction to the foundations of computer graphics and interactive techniques to advanced instruction on the current and future technologies.",,,,
2017,SIGGRAPH '17: ACM SIGGRAPH 2017 Courses,,no author,SIGGRAPH 2017 Courses are instructional sessions in which attendees learn new concepts and skills. They give attendees an in-depth overview of the state of-the-art in a particular area or provide a comprehensive overview of an emerging topic that is of interest to the SIGGRAPH audience. They are presented in short (1.5 hours);; medium (3.25 hours);; or all-day formats and often include elements of interactive demonstration;; performance;; or other imaginative approaches to teaching.The spectrum of Courses ranges from an introduction to the foundations of computer graphics and interactive techniques to advanced instruction on current and future technologies.,,,,
